time;CycleCounter;ResetCounter
0.00000;0;
0.00079;;9
0.10618;;9
0.10702;1;
0.21089;;9
0.21206;2;
0.32125;;9
0.32490;3;
0.43435;;9
0.43621;4;
0.54057;;9
0.54149;5;
0.64656;;9
0.64791;6;
0.75224;;9
0.75297;7;
0.85820;;9
0.85977;8;
0.96390;;9
0.96481;9;
1.07583;;9
1.07738;10;
1.18336;;9
1.18417;11;
1.28790;;9
1.28897;12;
1.39244;;9
1.39324;13;
1.49624;;9
1.49703;14;
1.60063;;9
1.60138;15;
1.70481;;9
1.70592;0;
1.80907;;9
1.80984;1;
1.91258;;9
1.91334;2;
2.01698;;9
2.01776;3;
2.12141;;9
2.12220;4;
2.22552;;9
2.22627;5;
2.33358;;9
2.33432;6;
2.43751;;9
2.43826;7;
2.54181;;9
2.54274;8;
2.65064;;9
2.65138;9;
2.76024;;9
2.76421;10;
2.87172;;9
2.87252;11;
2.97608;;9
2.97694;12;
3.07989;;9
3.08069;13;
3.18383;;9
3.18472;14;
3.28758;;9
3.28833;15;
3.39170;;9
3.39245;0;
