time;CycleCounter;ResetCounter
0.00000;0;
0.00076;;54
0.10331;;54
0.10365;1;
0.20517;;54
0.20550;2;
0.30636;;54
0.30671;3;
0.41021;;54
0.41160;4;
0.51733;;54
0.51888;5;
0.62196;;54
0.62230;6;
0.72394;;54
0.72429;7;
0.82711;;54
0.82755;8;
0.92884;;54
0.92917;9;
1.03054;;54
1.03089;10;
1.13201;;54
1.13236;11;
1.23671;;54
1.23762;12;
1.34128;;54
1.34318;13;
1.44638;;54
1.44681;14;
1.55067;;54
1.55223;15;
1.65532;;54
1.65568;0;
1.75746;;54
1.75782;1;
1.86004;;54
1.86050;2;
1.96177;;54
1.96210;3;
2.06394;;54
2.06427;4;
2.16656;;54
2.16688;5;
2.26955;;54
2.26987;6;
2.37179;;54
2.37212;7;
2.47380;;54
2.47415;8;
2.57557;;54
2.57595;9;
