time;a
0.00000;0
0.00125;2
0.10242;3
0.20337;4
0.30407;5
0.40519;6
0.50625;7
0.60727;8
0.70809;9
0.80953;10
0.91024;11
1.01111;12
1.11225;13
1.21312;14
1.31498;15
1.41627;16
1.51712;17
1.61819;18
1.71927;19
1.82014;20
1.92119;21
2.02226;22
2.12322;23
2.22415;24
2.32498;25
2.42643;26
2.52726;27
2.62893;28
2.73039;29
2.83120;30
2.93211;31
3.03328;32
3.13428;33
3.23523;34
3.33637;35
3.43727;36
3.53827;37
3.63926;38
3.74024;39
3.84140;40
3.94309;41
4.04420;42
4.14578;43
4.24746;44
4.34823;45
4.44934;46
4.55024;47
4.65129;48
4.75227;49
4.85319;50
4.95424;51
5.05514;52
5.15591;53
5.25822;54
5.35922;55
5.46079;56
5.56267;57
5.66335;58
5.76427;59
5.86526;60
5.96622;61
6.06721;62
6.16815;63
6.26925;64
6.37035;65
6.47117;66
6.57220;67
6.67414;68
6.77577;69
6.87722;70
6.97811;71
7.07893;72
7.17994;73
7.28190;74
7.38300;75
7.48408;76
7.58538;77
7.68596;78
7.78722;79
7.88836;80
7.98999;81
8.09213;82
8.19330;83
8.29441;84
8.39512;85
8.49624;86
8.59775;87
8.70006;88
8.80108;89
8.90218;90
9.00301;91
9.10410;92
9.20527;93
9.30592;94
9.40706;95
9.50808;96
9.60954;97
9.71015;98
9.81100;99
9.91220;100
10.01326;101
